data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
14,21,22,0.0007,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,99999999,26916.4959016731,internal_correlated,2
18,27,28,0.0007,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,100000000,28252.289132638136,internal,2
18,27,28,0.0007,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,100000000,30031.797352937283,internal_correlated,2
22,33,34,0.0007,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,33923.699241363676,internal,2
22,33,34,0.0007,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,36997.282863408094,internal_correlated,2
6,9,10,0.001,bounded_honeycomb_memory_EM3_v3,H,3,54,1102300,1101247,708.1602314934134,internal,2
6,9,10,0.001,bounded_honeycomb_memory_EM3_v3,H,3,54,2102300,2101256,644.8904758363497,internal_correlated,2
10,15,16,0.001,bounded_honeycomb_memory_EM3_v3,H,5,150,43402300,43401299,10493.292895222548,internal,2
10,15,16,0.001,bounded_honeycomb_memory_EM3_v3,H,5,150,100000000,99999524,25085.757637031144,internal_correlated,2
14,21,22,0.001,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,99999956,27401.276397872483,internal,2
14,21,22,0.001,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,99999996,27788.96160870185,internal_correlated,2
18,27,28,0.001,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,99999997,31745.022916306043,internal,2
18,27,28,0.001,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,100000000,34356.37190593104,internal_correlated,2
22,33,34,0.001,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,42404.4587310981,internal,2
22,33,34,0.001,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,47974.722352474,internal_correlated,2
6,9,10,0.0015,bounded_honeycomb_memory_EM3_v3,H,3,54,502300,501256,284.4992111341562,internal,2
6,9,10,0.0015,bounded_honeycomb_memory_EM3_v3,H,3,54,902300,901272,327.1375179872848,internal_correlated,2
10,15,16,0.0015,bounded_honeycomb_memory_EM3_v3,H,5,150,11102300,11101300,2771.1457365478855,internal,2
10,15,16,0.0015,bounded_honeycomb_memory_EM3_v3,H,5,150,49502300,49501298,14223.363692215178,internal_correlated,2
