data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
16,33,48,0.003,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,12520098,0.43975808698451146,detection_fraction,2
20,42,60,0.003,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,24821286,0.7424394559930079,detection_fraction,2
4,9,12,0.005,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,216909,0.03997010097373277,detection_fraction,2
8,18,24,0.005,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1683763,0.10834331798832864,detection_fraction,2
12,24,36,0.005,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,4995856,0.22467426396906376,detection_fraction,2
16,33,48,0.005,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,12142281,0.41646261396817863,detection_fraction,2
20,42,60,0.005,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,24064306,0.8247207900276408,detection_fraction,2
4,9,12,0.007,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,211571,0.05593632801901549,detection_fraction,2
8,18,24,0.007,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1640184,0.14735112199559808,detection_fraction,2
12,24,36,0.007,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,4854967,0.31654179404722527,detection_fraction,2
16,33,48,0.007,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,11792722,0.6256235490436666,detection_fraction,2
20,42,60,0.007,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,23363590,1.0135771870263852,detection_fraction,2
4,9,12,0.01,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,205013,0.05055487196659669,detection_fraction,2
8,18,24,0.01,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1578549,0.16220042400527745,detection_fraction,2
12,24,36,0.01,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,4663388,0.29760862700641155,detection_fraction,2
16,33,48,0.01,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,11314724,0.5408993749879301,detection_fraction,2
20,42,60,0.01,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,22410565,0.7629349959897809,detection_fraction,2
4,9,12,0.015,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,195049,0.03969539800891653,detection_fraction,2
8,18,24,0.015,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1489170,0.12061972595984116,detection_fraction,2
12,24,36,0.015,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,4389627,0.25355678296182305,detection_fraction,2
16,33,48,0.015,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,10632255,0.6011156449676491,detection_fraction,2
20,42,60,0.015,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,21017992,0.8813458269578405,detection_fraction,2
4,9,12,0.02,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,186641,0.039062325027771294,detection_fraction,2
8,18,24,0.02,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1412266,0.11969396698987111,detection_fraction,2
12,24,36,0.02,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,4156618,0.24846868898021057,detection_fraction,2
16,33,48,0.02,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,10056345,0.5079477950348519,detection_fraction,2
20,42,60,0.02,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,19875466,0.8357072100043297,detection_fraction,2
4,9,12,0.03,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,172410,0.04239537101238966,detection_fraction,2
8,18,24,0.03,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1294545,0.12269851000746712,detection_fraction,2
12,24,36,0.03,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,3793599,0.26573469198774546,detection_fraction,2
16,33,48,0.03,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,9170404,0.502256230043713,detection_fraction,2
20,42,60,0.03,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,18104531,0.8012831050436944,detection_fraction,2
4,9,12,0.0001,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,230204,0.18733365298248827,detection_fraction,2
8,18,24,0.0001,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1809818,0.7853456500452012,detection_fraction,2
12,24,36,0.0001,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5386547,1.69237001799047,detection_fraction,2
16,33,48,0.0001,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,13125030,3.1129326359950937,detection_fraction,2
20,42,60,0.0001,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,26045214,4.897194196993951,detection_fraction,2
4,9,12,0.0002,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,230057,0.17740274302195758,detection_fraction,2
8,18,24,0.0002,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1808329,0.7682660599821247,detection_fraction,2
12,24,36,0.0002,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5381994,1.5740334470174275,detection_fraction,2
16,33,48,0.0002,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,13113544,3.3484403969487175,detection_fraction,2
20,42,60,0.0002,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,26021320,5.333964442019351,detection_fraction,2
4,9,12,0.0003,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,229840,0.19669789803447202,detection_fraction,2
8,18,24,0.0003,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1806549,0.8252158830291592,detection_fraction,2
12,24,36,0.0003,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5376811,1.7642007379909046,detection_fraction,2
16,33,48,0.0003,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,13101934,3.3689691280014813,detection_fraction,2
20,42,60,0.0003,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,25998426,5.423289378988557,detection_fraction,2
4,9,12,0.0005,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,229390,0.24361549702007324,detection_fraction,2
8,18,24,0.0005,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1803400,0.8760527120321058,detection_fraction,2
12,24,36,0.0005,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5367434,1.7491763139842078,detection_fraction,2
16,33,48,0.0005,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,13079489,3.2103352139820345,detection_fraction,2
20,42,60,0.0005,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,25951188,5.243786211009137,detection_fraction,2
4,9,12,0.0007,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,229056,0.18829992698738351,detection_fraction,2
8,18,24,0.0007,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1800215,0.9049721620394848,detection_fraction,2
12,24,36,0.0007,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5358229,1.853558242029976,detection_fraction,2
16,33,48,0.0007,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,13055028,3.7274740469874814,detection_fraction,2
20,42,60,0.0007,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,25904920,6.725407583988272,detection_fraction,2
4,9,12,0.001,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,228495,0.20665408996865153,detection_fraction,2
8,18,24,0.001,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1796063,0.8749587489874102,detection_fraction,2
12,24,36,0.001,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5343398,1.8195870659546927,detection_fraction,2
16,33,48,0.001,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,13020847,3.442119734012522,detection_fraction,2
20,42,60,0.001,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,25838837,5.707610372977797,detection_fraction,2
4,9,12,0.0015,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,227458,0.18089393299305812,detection_fraction,2
8,18,24,0.0015,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1787615,0.7697342309984379,detection_fraction,2
12,24,36,0.0015,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5320328,1.596283785009291,detection_fraction,2
16,33,48,0.0015,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,12965149,3.0230538159958087,detection_fraction,2
20,42,60,0.0015,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,25724091,5.504182289994787,detection_fraction,2
4,9,12,0.002,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,226675,0.21170681598596275,detection_fraction,2
8,18,24,0.002,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1780144,0.9038232329767197,detection_fraction,2
12,24,36,0.002,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5297564,1.9249487250344828,detection_fraction,2
16,33,48,0.002,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,12905377,2.955902778019663,detection_fraction,2
20,42,60,0.002,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,25611302,4.884631968976464,detection_fraction,2
4,9,12,0.003,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,224925,0.20487402996513993,detection_fraction,2
8,18,24,0.003,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1764087,0.88746107701445,detection_fraction,2
12,24,36,0.003,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5251120,1.6935527479508892,detection_fraction,2
16,33,48,0.003,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,12794507,3.01634442305658,detection_fraction,2
20,42,60,0.003,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,25387166,4.8732721349806525,detection_fraction,2
4,9,12,0.005,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,221234,0.1806839290075004,detection_fraction,2
8,18,24,0.005,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1734793,0.7875211329665035,detection_fraction,2
12,24,36,0.005,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5163963,1.633829029975459,detection_fraction,2
16,33,48,0.005,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,12577225,3.097707123029977,detection_fraction,2
20,42,60,0.005,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,24957200,5.0919253479805775,detection_fraction,2
4,9,12,0.007,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,217811,0.25461849599378183,detection_fraction,2
8,18,24,0.007,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1707492,1.0076518529676832,detection_fraction,2
12,24,36,0.007,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,5077731,1.9658820630284026,detection_fraction,2
